candidate_id;discovered_at;source_kind;dataflow_id;name;territory_hint;priority_score;reason;triage_status;triage_notes
istat_sdmx:30_264_DF_DCSC_FIDCONS_1;2026-07-25T12:09:08.038873+00:00;istat_sdmx;30_264_DF_DCSC_FIDCONS_1;Climi grezzi (base 2021=100) - Climi grezzi e destagionalizzati (base 2010=100) - livello nazionale e ripartizionale;regione;0.9;"Dataflow territoriale non coperto da fonti in allowlist ne da adapter curati; dominio nuovo per il catalogo. Da verificare a mano: livello regionale, freschezza, copertura e licenza prima di ammetterlo.";new;
istat_sdmx:30_264_DF_DCSC_FIDCONS_10;2026-07-25T12:09:08.038873+00:00;istat_sdmx;30_264_DF_DCSC_FIDCONS_10;Climi grezzi e destagionalizzati - livello nazionale e ripartizionale (base 2010=100);regione;0.9;"Dataflow territoriale non coperto da fonti in allowlist ne da adapter curati; dominio nuovo per il catalogo. Da verificare a mano: livello regionale, freschezza, copertura e licenza prima di ammetterlo.";new;
istat_sdmx:74_171_DF_DCAR_PROC_AMM_3;2026-07-25T12:09:08.038873+00:00;istat_sdmx;74_171_DF_DCAR_PROC_AMM_3;Consiglio di giustizia amministrativa per la Regione siciliana;regione;0.9;"Dataflow territoriale non coperto da fonti in allowlist ne da adapter curati; dominio nuovo per il catalogo. Da verificare a mano: livello regionale, freschezza, copertura e licenza prima di ammetterlo.";new;
istat_sdmx:150_1191_DF_DCCV_TAXATVT1_UNT2020_9;2026-07-25T12:09:08.038873+00:00;istat_sdmx;150_1191_DF_DCCV_TAXATVT1_UNT2020_9;Dal IV 1992 - dati regionali;regione;0.9;"Dataflow territoriale non coperto da fonti in allowlist ne da adapter curati; dominio nuovo per il catalogo. Da verificare a mano: livello regionale, freschezza, copertura e licenza prima di ammetterlo.";new;
istat_sdmx:152_1185_DF_DCCV_INATTIV1_UNT2020_7;2026-07-25T12:09:08.038873+00:00;istat_sdmx;152_1185_DF_DCCV_INATTIV1_UNT2020_7;Dati regionali - titolo di studio;regione;0.9;"Dataflow territoriale non coperto da fonti in allowlist ne da adapter curati; dominio nuovo per il catalogo. Da verificare a mano: livello regionale, freschezza, copertura e licenza prima di ammetterlo.";new;
istat_sdmx:78_1205_DF_DCCV_1522UTENTI4_13;2026-07-25T12:09:08.038873+00:00;istat_sdmx;78_1205_DF_DCCV_1522UTENTI4_13;Esito della telefonata - sesso, nazionalità, regione (chiamate valide);regione;0.9;"Dataflow territoriale non coperto da fonti in allowlist ne da adapter curati; dominio nuovo per il catalogo. Da verificare a mano: livello regionale, freschezza, copertura e licenza prima di ammetterlo.";new;
istat_sdmx:42_210_DF_DCIS_IVG_MIGRAZIONE_3;2026-07-25T12:09:08.038873+00:00;istat_sdmx;42_210_DF_DCIS_IVG_MIGRAZIONE_3;Eventi per regione di residenza della donna e regione di intervento;regione;0.9;"Dataflow territoriale non coperto da fonti in allowlist ne da adapter curati; dominio nuovo per il catalogo. Da verificare a mano: livello regionale, freschezza, copertura e licenza prima di ammetterlo.";new;
istat_sdmx:22_222_DF_DCSC_NONRESID_CONSTR_4;2026-07-25T12:09:08.038873+00:00;istat_sdmx;22_222_DF_DCSC_NONRESID_CONSTR_4;Fabbricati non residenziali nuovi e ampliamenti per durata prevista dei lavori - ripartizioni e classi di comune;regione;0.9;"Dataflow territoriale non coperto da fonti in allowlist ne da adapter curati; dominio nuovo per il catalogo. Da verificare a mano: livello regionale, freschezza, copertura e licenza prima di ammetterlo.";new;
istat_sdmx:22_222_DF_DCSC_NONRESID_CONSTR_8;2026-07-25T12:09:08.038873+00:00;istat_sdmx;22_222_DF_DCSC_NONRESID_CONSTR_8;Fabbricati non residenziali nuovi e ampliamenti per richiedente il titolo abilitativo - regioni e classi di comune;regione;0.9;"Dataflow territoriale non coperto da fonti in allowlist ne da adapter curati; dominio nuovo per il catalogo. Da verificare a mano: livello regionale, freschezza, copertura e licenza prima di ammetterlo.";new;
istat_sdmx:22_222_DF_DCSC_NONRESID_CONSTR_3;2026-07-25T12:09:08.038873+00:00;istat_sdmx;22_222_DF_DCSC_NONRESID_CONSTR_3;Fabbricati non residenziali nuovi e ampliamenti per titolo abilitativo - ripartizioni e classi di comune;regione;0.9;"Dataflow territoriale non coperto da fonti in allowlist ne da adapter curati; dominio nuovo per il catalogo. Da verificare a mano: livello regionale, freschezza, copertura e licenza prima di ammetterlo.";new;
istat_sdmx:22_222_DF_DCSC_NONRESID_CONSTR_9;2026-07-25T12:09:08.038873+00:00;istat_sdmx;22_222_DF_DCSC_NONRESID_CONSTR_9;Fabbricati non residenziali nuovi per tipologia dell'impianto - ripartizioni e classi di comune;regione;0.9;"Dataflow territoriale non coperto da fonti in allowlist ne da adapter curati; dominio nuovo per il catalogo. Da verificare a mano: livello regionale, freschezza, copertura e licenza prima di ammetterlo.";new;
istat_sdmx:11_111_DF_DCSC_RESID_CONSTR_14;2026-07-25T12:09:08.038873+00:00;istat_sdmx;11_111_DF_DCSC_RESID_CONSTR_14;Fabbricati nuovi e ampliamenti di fabbricati destinati a collettività - ripartizioni e classi di comune;regione;0.9;"Dataflow territoriale non coperto da fonti in allowlist ne da adapter curati; dominio nuovo per il catalogo. Da verificare a mano: livello regionale, freschezza, copertura e licenza prima di ammetterlo.";new;
istat_sdmx:11_111_DF_DCSC_RESID_CONSTR_11;2026-07-25T12:09:08.038873+00:00;istat_sdmx;11_111_DF_DCSC_RESID_CONSTR_11;Fabbricati residenziali nuovi e ampliamenti con relative abitazioni per richiedente il titolo abilitativo - regioni e classi di comune;regione;0.9;"Dataflow territoriale non coperto da fonti in allowlist ne da adapter curati; dominio nuovo per il catalogo. Da verificare a mano: livello regionale, freschezza, copertura e licenza prima di ammetterlo.";new;
istat_sdmx:11_111_DF_DCSC_RESID_CONSTR_5;2026-07-25T12:09:08.038873+00:00;istat_sdmx;11_111_DF_DCSC_RESID_CONSTR_5;Fabbricati residenziali nuovi e ampliamenti per durata prevista dei lavori -  ripartizioni e classi di comune;regione;0.9;"Dataflow territoriale non coperto da fonti in allowlist ne da adapter curati; dominio nuovo per il catalogo. Da verificare a mano: livello regionale, freschezza, copertura e licenza prima di ammetterlo.";new;
istat_sdmx:11_111_DF_DCSC_RESID_CONSTR_4;2026-07-25T12:09:08.038873+00:00;istat_sdmx;11_111_DF_DCSC_RESID_CONSTR_4;Fabbricati residenziali nuovi e ampliamenti per titolo abilitativo - ripartizioni e classi di comune;regione;0.9;"Dataflow territoriale non coperto da fonti in allowlist ne da adapter curati; dominio nuovo per il catalogo. Da verificare a mano: livello regionale, freschezza, copertura e licenza prima di ammetterlo.";new;
istat_sdmx:11_111_DF_DCSC_RESID_CONSTR_3;2026-07-25T12:09:08.038873+00:00;istat_sdmx;11_111_DF_DCSC_RESID_CONSTR_3;Fabbricati residenziali nuovi per numero di abitazioni - regioni e classi di comune;regione;0.9;"Dataflow territoriale non coperto da fonti in allowlist ne da adapter curati; dominio nuovo per il catalogo. Da verificare a mano: livello regionale, freschezza, copertura e licenza prima di ammetterlo.";new;
