DATAFLOW,FREQ,REF_AREA,DATA_TYPE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT109,GROWTHRATEN,2025,-6.9,p,,,TIPO_DATO15__GROWTHRATEN_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT110,GROWTHRATEN,2015,-0.5,,,,TIPO_DATO15__GROWTHRATEN_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT110,GROWTHRATEN,2016,0.3,,,,TIPO_DATO15__GROWTHRATEN_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT110,GROWTHRATEN,2017,-0.8,,,,TIPO_DATO15__GROWTHRATEN_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT110,GROWTHRATEN,2018,-0.8,,,,TIPO_DATO15__GROWTHRATEN_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT110,GROWTHRATEN,2019,-1.3,,,,TIPO_DATO15__GROWTHRATEN_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT110,GROWTHRATEN,2020,-3.3,,,,TIPO_DATO15__GROWTHRATEN_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT110,GROWTHRATEN,2021,-2.8,,,,TIPO_DATO15__GROWTHRATEN_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT110,GROWTHRATEN,2022,-2.6,,,,TIPO_DATO15__GROWTHRATEN_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT110,GROWTHRATEN,2023,-2.6,,,,TIPO_DATO15__GROWTHRATEN_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT110,GROWTHRATEN,2024,-2.5,,,,TIPO_DATO15__GROWTHRATEN_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT110,GROWTHRATEN,2025,-3,p,,,TIPO_DATO15__GROWTHRATEN_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT111,GROWTHRATEN,2015,-4.7,,,,TIPO_DATO15__GROWTHRATEN_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT111,GROWTHRATEN,2016,-4.4,,,,TIPO_DATO15__GROWTHRATEN_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT111,GROWTHRATEN,2017,-5.7,,,,TIPO_DATO15__GROWTHRATEN_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT111,GROWTHRATEN,2018,-5.3,,,,TIPO_DATO15__GROWTHRATEN_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,IT111,GROWTHRATEN,2019,-6.5,,,,TIPO_DATO15__GROWTHRATEN_N1,,,
