family_key;source;indicator_id;dimension;value;added_by;added_at;note
non_occupati_che_partecipano_ad_attivita_formative_e_di_istruzione;territorial;187;sesso;maschi;scripts/generate_indicator_families.py;2026-09-04;Non occupati che partecipano ad attività formative e di istruzione
non_occupati_che_partecipano_ad_attivita_formative_e_di_istruzione;territorial;67;sesso;totale;scripts/generate_indicator_families.py;2026-09-04;Non occupati che partecipano ad attività formative e di istruzione
occupati_che_partecipano_ad_attivita_formative_e_di_istruzione;territorial;186;sesso;femmine;scripts/generate_indicator_families.py;2026-09-04;Occupati che partecipano ad attività formative e di istruzione
occupati_che_partecipano_ad_attivita_formative_e_di_istruzione;territorial;185;sesso;maschi;scripts/generate_indicator_families.py;2026-09-04;Occupati che partecipano ad attività formative e di istruzione
occupati_che_partecipano_ad_attivita_formative_e_di_istruzione;territorial;63;sesso;totale;scripts/generate_indicator_families.py;2026-09-04;Occupati che partecipano ad attività formative e di istruzione
persone_a_rischio_di_poverta_o_esclusione_sociale_europa_2030;territorial;360;sesso;femmine;scripts/generate_indicator_families.py;2026-09-04;Persone a rischio di povertà o esclusione sociale - Europa 2030
persone_a_rischio_di_poverta_o_esclusione_sociale_europa_2030;territorial;359;sesso;maschi;scripts/generate_indicator_families.py;2026-09-04;Persone a rischio di povertà o esclusione sociale - Europa 2030
persone_a_rischio_di_poverta_o_esclusione_sociale_europa_2030;territorial;285;sesso;totale;scripts/generate_indicator_families.py;2026-09-04;Persone a rischio di povertà o esclusione sociale - Europa 2030
persone_in_condizioni_di_grave_deprivazione_materiale_e_sociale_europa_2030;territorial;367;sesso;femmine;scripts/generate_indicator_families.py;2026-09-04;Persone in condizioni di grave deprivazione materiale e sociale - Europa 2030
persone_in_condizioni_di_grave_deprivazione_materiale_e_sociale_europa_2030;territorial;366;sesso;maschi;scripts/generate_indicator_families.py;2026-09-04;Persone in condizioni di grave deprivazione materiale e sociale - Europa 2030
persone_in_condizioni_di_grave_deprivazione_materiale_e_sociale_europa_2030;territorial;365;sesso;totale;scripts/generate_indicator_families.py;2026-09-04;Persone in condizioni di grave deprivazione materiale e sociale - Europa 2030
popolazione_residente_nei_comuni_rurali;territorial;246;sesso;femmine;scripts/generate_indicator_families.py;2026-09-04;Popolazione residente nei comuni rurali
