territorio,anno,valore
Italia,2018,39.3
Italia,2019,39.6
Italia,2021,44.5
Italia,2022,43.6
Italia,2023,44.2
Italia,2024,44.0
Italia,2025,44.3
Nord,2018,30.8
Nord,2019,31.3
Nord,2021,37.0
Nord,2022,35.8
Nord,2023,36.5
Nord,2024,36.9
Nord,2025,37.6
Centro,2018,35.2
Centro,2019,35.8
Centro,2021,40.7
Centro,2022,40.0
Centro,2023,41.4
Centro,2024,40.5
Centro,2025,41.1
Mezzogiorno,2018,51.9
Mezzogiorno,2019,52.1
Mezzogiorno,2021,58.0
Mezzogiorno,2022,56.4
Mezzogiorno,2023,56.0
Mezzogiorno,2024,55.8
Mezzogiorno,2025,55.3
