territorio,anno,valore
Italia,2018,34.4
Italia,2019,35.2
Italia,2021,38.5
Italia,2022,38.6
Italia,2023,38.5
Italia,2024,39.9
Italia,2025,41.4
Nord,2018,28.7
Nord,2019,30.2
Nord,2021,34.0
Nord,2022,33.9
Nord,2023,34.5
Nord,2024,36.0
Nord,2025,37.9
Centro,2018,30.6
Centro,2019,31.6
Centro,2021,34.9
Centro,2022,35.2
Centro,2023,35.5
Centro,2024,36.9
Centro,2025,38.4
Mezzogiorno,2018,43.1
Mezzogiorno,2019,43.3
Mezzogiorno,2021,47.2
Mezzogiorno,2022,46.7
Mezzogiorno,2023,45.6
Mezzogiorno,2024,46.7
Mezzogiorno,2025,47.7
