code;name;parent
AOIN_DEFXPE_TEDDEA_SH_PCT;Femmine per 100 dipendenti (età 25-64 anni, con istruzione terziaria);
AOIN_IEFXPE_TEDIEA_SH_PCT;Femmine per 100 indipendenti (età 25-64 anni, con istruzione terziaria);
AOIN_0EIEXIE_IE_SH_PCT;Indipendenti delle imprese senza dipendenti per 100 indipendenti;
AOIN_9EPEXPE_PE_SH_PCT;Addetti delle microimprese per 100 addetti;
AOIN_9EDEXDE_DE_SH_PCT;Dipendenti delle microimprese per 100 dipendenti;
AOIN_9EIEXIE_IE_SH_PCT;Indipendenti delle microimprese per 100 indipendenti;
AOIN_250EDEXDE_DE_SH_PCT;Dipendenti delle grandi imprese per 100 dipendenti;
AOIN_HTPEXPE_PE_SH_PCT;Addetti delle imprese ad alta tecnologia e intense in conoscenza per 100 addetti;
AOIN_HTDEXDE_DE_SH_PCT;Dipendenti delle imprese ad alta tecnologia e intense in conoscenza per 100 dipendenti;
AOIN_HTIEXIE_IE_SH_PCT;Indipendenti delle imprese ad alta tecnologia e intense in conoscenza per 100 indipendenti;
AOIN_XEPEXPE_PE_SH_PCT;Addetti delle imprese individuali per 100 addetti;
AOIN_XEDEXDE_DE_SH_PCT;Dipendenti delle imprese individuali per 100 dipendenti;
AOIN_XEIEXIE_IE_SH_PCT;Indipendenti delle imprese individuali per 100 indipendenti;
AOIN_PENNGOSADJPE_PE_SH_PCT;Addetti delle imprese con MOL corretto non negativo per 100 addetti;
AOIN_DENNGOSADJXE_DE_SH_PCT;Dipendenti delle imprese con MOL corretto non negativo per 100 dipendenti;
AOIN_IENNGOSADJXIE_IE_SH_PCT;Indipendenti delle imprese con MOL corretto non negativo per 100 indipendenti;
AOINFT_DELENXDE_DE_SH_PCT;Dipendenti di imprese residenti per 100 dipendenti;
FTIN_LENXPOP_POP_RT_PCT;Imprese residenti per 100 individui residenti;
FTIN_LUXPOP_POP_RT_PCT;Unità locali per 100 individui residenti;
AOIN_COXDE_DE_AVG_N;"Posizioni lavorative per dipendente (per sesso; età 25-64)";
AOIN_AGEAVGPE_PE_AVG_YY;Età media degli addetti, per sesso;
AOIN_AGEAVGDE_DE_AVG_YY;Età media dei dipendenti, per sesso;
AOIN_AGEAVGIE_IE_AVG_YY;Età media degli indipendenti, per sesso;
