territory,year,value
Abruzzo,2023,4.90
Basilicata,2023,6.87
Calabria,2023,5.62
Campania,2023,5.49
Emilia-Romagna,2023,3.28
Friuli-Venezia Giulia,2023,3.62
Lazio,2023,4.24
Liguria,2023,2.94
Lombardia,2023,3.40
Marche,2023,3.41
Molise,2023,6.25
Piemonte,2023,5.02
Puglia,2023,6.46
Sardegna,2023,5.07
Sicilia,2023,5.54
Toscana,2023,3.20
Trentino Alto Adige,2023,3.52
Umbria,2023,3.12
Valle d'Aosta,2023,2.83
Veneto,2023,4.81
