territory,year,value
Italia,2018,12.0
Italia,2019,11.7
Italia,2020,10.8
Italia,2021,11.3
Italia,2022,11.0
Nord,2018,10.5
Nord,2019,10.2
Nord,2020,9.8
Nord,2021,10.1
Nord,2022,9.6
Centro,2018,12.6
Centro,2019,12.1
Centro,2020,11.2
Centro,2021,11.7
Centro,2022,11.9
Mezzogiorno,2018,14.6
Mezzogiorno,2019,14.3
Mezzogiorno,2020,12.4
Mezzogiorno,2021,13.4
Mezzogiorno,2022,13.0
