territory,year,value
Piemonte,2022,19
Valle d'Aosta,2022,24
Lombardia,2022,17
Veneto,2022,18
Friuli-Venezia Giulia,2022,16
Liguria,2022,16
Emilia-Romagna,2022,15
Toscana,2022,16
Umbria,2022,21
Marche,2022,18
Lazio,2022,21
Abruzzo,2022,24
Molise,2022,23
Campania,2022,23
Puglia,2022,21
Basilicata,2022,26
Calabria,2022,28
Sicilia,2022,23
Sardegna,2022,25
